X	Y	P
18.1350 2.0925 102.3194
18.8325 2.0925 102.2786
19.5300 2.0925 100.7347
20.2275 2.0925 99.4066
20.9250 2.0925 99.8468
21.6225 2.0925 100.2871
22.3200 2.0925 95.9048
23.0175 2.0925 91.1907
23.7150 2.0925 90.3701
24.4125 2.0925 90.6999
25.1100 2.0925 96.1653
25.8075 2.0925 104.5820
26.5050 2.0925 109.1009
27.2025 2.0925 109.2970
27.9000 2.0925 107.6075
28.5975 2.0925 102.0031
29.2950 2.0925 97.5495
29.9925 2.0925 98.8063
30.6900 2.0925 100.1156
31.3875 2.0925 104.6173
32.0850 2.0925 109.1195
32.7825 2.0925 107.4867
33.4800 2.0925 104.8253
34.1775 2.0925 102.8148
34.8750 2.0925 101.0899
35.5725 2.0925 97.4064
36.2700 2.0925 92.0869
36.9675 2.0925 90.3917
37.6650 2.0925 94.3577
38.3625 2.0925 97.3350
39.0600 2.0925 97.1450
39.7575 2.0925 96.6342
40.4550 2.0925 92.5632
41.1525 2.0925 88.4919
41.8500 2.0925 99.0457
42.5475 2.0925 110.6448
43.2450 2.0925 106.8470
43.9425 2.0925 98.7107
44.6400 2.0925 92.8458
45.3375 2.0925 88.2788
46.0350 2.0925 87.0042
46.7325 2.0925 89.5018
47.4300 2.0925 87.2960
48.1275 2.0925 75.1860
48.8250 2.0925 68.0051
49.5225 2.0925 84.9790
50.2200 2.0925 101.7106
50.9175 2.0925 101.8182
51.6150 2.0925 101.9258
52.3125 2.0925 109.3244
53.0100 2.0925 117.8582
53.7075 2.0925 126.0779
54.4050 2.0925 134.1964
55.1025 2.0925 136.4349
55.8000 2.0925 134.1342
